tipo_alimento;mes;precio_clp_kg;proveedor;moneda;glosa
ENG-100;2025-01;$950;Skretting;CLP;con pigmentación
engorda100;2025-02;964;BioMar;CLP;dieta medicada
ENG-100;2025-03;$978;Skretting;CLP;ración estándar
Engorda 100;2025-04;993,00;Skretting;CLP;con pigmentación
ENG-100;2025-05;-;Skretting;CLP;nutrición engorda
Engorda 100;2025-06;1.021,00;Skretting;CLP;nutrición engorda
ENG-100;2025-07;1.036,00;BioMar;CLP;nutrición engorda
ENG-100;2025-08;$1.050;Skretting;CLP;nutrición engorda
Engorda 100;2025-09;1064;Ewos;CLP;nutrición engorda
tipo_alimento;mes;precio_clp_kg;proveedor;moneda;glosa
ENG-100;2025-10;1.078,00;Skretting;CLP;dieta medicada
Engorda 100;2025-11;1092;Ewos;CLP;ración estándar
engorda100;2025-12;1107;BioMar;CLP;ración estándar
Engorda 200;2025-01;1.026,00;Ewos;CLP;con pigmentación
engorda200;2025-02;$1.041;Ewos;CLP;alimentación invierno
ENG-200;2025-03;$1.057;BioMar;CLP;nutrición engorda
engorda200;2025-04;1.072,00;BioMar;CLP;nutrición engorda
engorda200;2025-05;$1.088;BioMar;CLP;ración estándar
engorda200;2025-06;$1.103;Skretting;CLP;ración estándar
engorda200;2025-08;1134;Skretting;CLP;con pigmentación
engorda200;2025-09;$1.149;Ewos;CLP;alimentación invierno
ENG-200;2025-10;1.165,00;BioMar;CLP;ración estándar
engorda200;2025-11;1180;Skretting;CLP;alimentación invierno
Engorda 200;2025-12;1195;Ewos;CLP;nutrición engorda
pigmentado;2025-01;1.188,00;Skretting;CLP;alimentación invierno
Pigmentado;2025-03;$1.223;Ewos;CLP;dieta medicada
PIG;2025-04;1.241,00;Ewos;CLP;alimentación invierno
Pigmentado;2025-05;1.259,00;BioMar;CLP;alimentación invierno
PIG;2025-06;1.277,00;BioMar;CLP;ración estándar
pigmentado;2025-07;1.294,00;Skretting;CLP;con pigmentación
PIG;2025-08;1312;BioMar;CLP;nutrición engorda
Pigmentado;2025-09;1.330,00;Ewos;CLP;dieta medicada
PIG;2025-10;1348;BioMar;CLP;nutrición engorda
PIG;2025-11;$1.366;Skretting;CLP;con pigmentación
Pigmentado;2025-12;1.383,00;Skretting;CLP;alimentación invierno
TOTAL;;;;;
